dataset_folder,budget_setting,reported_model,target_K_mean,target_K_std,hpo_selected_K_mean,hpo_selected_K_std,test_balanced_acc_mean,test_balanced_acc_std,routable_leaves_mean,routable_leaves_std,test_pathlen_decisions_mean,test_pathlen_decisions_std,n_metric,n_leaves,n_path
OpenML_1120_MagicTelescope,HPO_Kstar,pp,36.0,20.396078054371134,36.0,20.396078054371134,0.7999600000000001,0.0104949035250449,65.0,28.8704000665041,,,5,5,0
OpenML_1120_MagicTelescope,K0004,pp,4.0,0.0,36.0,20.396078054371134,0.77028,0.0122854385351113,45.0,33.18885355055218,,,5,5,0
OpenML_1120_MagicTelescope,K0008,pp,8.0,0.0,36.0,20.396078054371134,0.79148,0.0042281201496646,51.6,22.941229260874405,,,5,5,0
OpenML_1120_MagicTelescope,K0016,pp,16.0,0.0,36.0,20.396078054371134,0.79208,0.0073086934536892,59.8,39.58156136384719,,,5,5,0
OpenML_1120_MagicTelescope,K0032,pp,32.0,0.0,36.0,20.396078054371134,0.7987599999999999,0.0052505237833953,57.0,25.65151067676132,,,5,5,0
OpenML_1120_MagicTelescope,K0064,pp,64.0,0.0,36.0,20.396078054371134,0.79992,0.0101600688974042,69.0,16.56804152578089,,,5,5,0
OpenML_1120_MagicTelescope,NO_BUDGET,pp,,,36.0,20.396078054371134,0.80228,0.0028682747427678,71.2,25.93646082255634,,,5,5,0
OpenML_1219_Click_prediction_small,HPO_Kstar,pp,14.4,6.06630035524124,14.4,6.06630035524124,0.6147199999999999,0.0048597325029264,20.6,13.831124321616086,,,5,5,0
OpenML_1219_Click_prediction_small,K0004,pp,4.0,0.0,14.4,6.06630035524124,0.61064,0.0104044701931429,12.8,8.348652585896719,,,5,5,0
OpenML_1219_Click_prediction_small,K0008,pp,8.0,0.0,14.4,6.06630035524124,0.618,0.0069126695277584,21.4,18.03607496103296,,,5,5,0
OpenML_1219_Click_prediction_small,K0016,pp,16.0,0.0,14.4,6.06630035524124,0.61454,0.0049196544594107,22.6,14.38054240979804,,,5,5,0
OpenML_1219_Click_prediction_small,K0032,pp,32.0,0.0,15.0,6.831300510639732,0.623225,0.0053853969213048,31.25,9.63932916061417,,,4,4,0
OpenML_1219_Click_prediction_small,K0064,pp,64.0,0.0,15.0,6.831300510639732,0.6190249999999999,0.0032128647652834,27.25,16.357974609753292,,,4,4,0
OpenML_1219_Click_prediction_small,NO_BUDGET,pp,,,14.4,6.06630035524124,0.6186999999999999,0.006755368235707,23.8,15.770225109363532,,,5,5,0
OpenML_1461_bank-marketing,HPO_Kstar,pp,23.2,8.19756061276768,23.2,8.19756061276768,0.80224,0.0074008783262529,17.6,5.683308895353129,,,5,5,0
OpenML_1461_bank-marketing,K0004,pp,4.0,0.0,23.2,8.19756061276768,0.79716,0.0129187073656771,16.6,6.465291950097845,,,5,5,0
OpenML_1461_bank-marketing,K0008,pp,8.0,0.0,23.2,8.19756061276768,0.79196,0.0130666751700652,16.8,7.661592523751182,,,5,5,0
OpenML_1461_bank-marketing,K0016,pp,16.0,0.0,23.2,8.19756061276768,0.80528,0.0137399781659215,16.0,6.519202405202649,,,5,5,0
OpenML_1461_bank-marketing,K0032,pp,32.0,0.0,23.2,8.19756061276768,0.8014199999999999,0.0116654189809025,23.4,8.384509526501834,,,5,5,0
OpenML_1461_bank-marketing,K0064,pp,64.0,0.0,23.2,8.19756061276768,0.8020799999999999,0.0056830449584707,16.2,6.572670690061994,,,5,5,0
OpenML_1461_bank-marketing,NO_BUDGET,pp,,,23.2,8.19756061276768,0.79816,0.0068748090882583,21.4,9.6591925128346,,,5,5,0
OpenML_1462_banknote-authentication,HPO_Kstar,pp,43.2,15.59487095169434,43.2,15.59487095169434,0.99132,0.0053185524346385,37.4,5.683308895353129,,,5,5,0
OpenML_1462_banknote-authentication,K0004,pp,4.0,0.0,43.2,15.59487095169434,0.97756,0.0199102486172322,26.6,5.029910535983716,,,5,5,0
OpenML_1462_banknote-authentication,K0008,pp,8.0,0.0,43.2,15.59487095169434,0.97546,0.0069154175578919,29.6,8.142481194328912,,,5,5,0
OpenML_1462_banknote-authentication,K0016,pp,16.0,0.0,43.2,15.59487095169434,0.98642,0.0060701729794133,34.2,9.934787365615836,,,5,5,0
OpenML_1462_banknote-authentication,K0032,pp,32.0,0.0,43.2,15.59487095169434,0.98722,0.0108704645714891,36.2,5.403702434442518,,,5,5,0
OpenML_1462_banknote-authentication,K0064,pp,64.0,0.0,43.2,15.59487095169434,0.98856,0.0081604534187752,34.6,5.412947441089743,,,5,5,0
OpenML_1462_banknote-authentication,NO_BUDGET,pp,,,43.2,15.59487095169434,0.99196,0.0032331099579197,33.8,6.648308055437865,,,5,5,0
OpenML_1464_blood-transfusion-service-center,HPO_Kstar,pp,29.2,22.60973241770013,29.2,22.60973241770013,0.66578,0.0537161707495982,9.0,6.48074069840786,,,5,5,0
OpenML_1464_blood-transfusion-service-center,K0004,pp,4.0,0.0,29.2,22.60973241770013,0.6769000000000001,0.0323906622346626,5.0,1.224744871391589,,,5,5,0
OpenML_1464_blood-transfusion-service-center,K0008,pp,8.0,0.0,35.5,20.42057785666214,0.659725,0.0466130435965442,7.5,1.914854215512676,,,4,4,0
OpenML_1464_blood-transfusion-service-center,K0016,pp,16.0,0.0,35.5,20.42057785666214,0.64785,0.0534404029425926,11.5,3.3166247903554,,,4,4,0
OpenML_1464_blood-transfusion-service-center,NO_BUDGET,pp,,,29.2,22.60973241770013,0.6712,0.0528284014522491,9.2,3.96232255123179,,,5,5,0
OpenML_1464_blood-transfusion-service-center,K0032,pp,32.0,0.0,41.333333333333336,20.526405757787536,0.6593666666666667,0.0612137511784185,10.333333333333334,5.033222956847166,,,3,3,0
OpenML_1464_blood-transfusion-service-center,K0064,pp,64.0,0.0,41.333333333333336,20.526405757787536,0.6798333333333333,0.0559036075162715,12.666666666666666,6.027713773341708,,,3,3,0
OpenML_1471_eeg-eye-state,HPO_Kstar,pp,54.4,14.310835055998654,54.4,14.310835055998654,0.7271599999999999,0.0119567135952986,95.0,39.41446435003272,,,5,5,0
OpenML_1471_eeg-eye-state,K0004,pp,4.0,0.0,54.4,14.310835055998654,0.67142,0.0214440434619966,50.2,34.1716256563834,,,5,5,0
OpenML_1471_eeg-eye-state,K0008,pp,8.0,0.0,54.4,14.310835055998654,0.68652,0.01469241300808,68.8,45.05219195555306,,,5,5,0
OpenML_1471_eeg-eye-state,K0016,pp,16.0,0.0,54.4,14.310835055998654,0.72142,0.0201334795800427,66.6,44.83636916611335,,,5,5,0
OpenML_1471_eeg-eye-state,K0032,pp,32.0,0.0,54.4,14.310835055998654,0.72514,0.0197363370461694,80.8,38.62900464676769,,,5,5,0
OpenML_1471_eeg-eye-state,K0064,pp,64.0,0.0,54.4,14.310835055998654,0.7309199999999999,0.0122315984237547,93.0,39.717754216471,,,5,5,0
OpenML_1471_eeg-eye-state,NO_BUDGET,pp,,,54.4,14.310835055998654,0.7298,0.0151180355866759,100.6,47.42678568066784,,,5,5,0
OpenML_1489_phoneme,HPO_Kstar,pp,36.8,18.41738309315414,36.8,18.41738309315414,0.79754,0.0091344403222091,38.8,21.05231578710523,,,5,5,0
OpenML_1489_phoneme,K0004,pp,4.0,0.0,36.8,18.41738309315414,0.78906,0.0145678756172614,24.8,15.61089363233252,,,5,5,0
OpenML_1489_phoneme,K0008,pp,8.0,0.0,36.8,18.41738309315414,0.78928,0.0375618423403325,34.6,27.281862106535176,,,5,5,0
OpenML_1489_phoneme,K0016,pp,16.0,0.0,36.8,18.41738309315414,0.7952799999999999,0.0243122808473413,39.4,23.67065694060898,,,5,5,0
OpenML_1489_phoneme,K0032,pp,32.0,0.0,36.8,18.41738309315414,0.7962400000000001,0.0176603510723881,38.8,21.53369452741447,,,5,5,0
OpenML_1489_phoneme,K0064,pp,64.0,0.0,36.8,18.41738309315414,0.80268,0.0171502769656935,40.4,22.311432047271197,,,5,5,0
OpenML_1489_phoneme,NO_BUDGET,pp,,,36.8,18.41738309315414,0.80944,0.023187345686818,41.4,26.510375327407196,,,5,5,0
OpenML_1494_qsar-biodeg,HPO_Kstar,pp,33.6,19.71801207018598,33.6,19.71801207018598,0.8023199999999999,0.0335493219007478,18.6,8.734987120768983,,,5,5,0
OpenML_1494_qsar-biodeg,K0004,pp,4.0,0.0,33.6,19.71801207018598,0.77942,0.0476105765560552,10.6,3.646916505762094,,,5,5,0
OpenML_1494_qsar-biodeg,K0008,pp,8.0,0.0,33.6,19.71801207018598,0.78018,0.0262318889903109,15.4,8.324662155306966,,,5,5,0
OpenML_1494_qsar-biodeg,K0016,pp,16.0,0.0,33.6,19.71801207018598,0.7985599999999999,0.0318008333224146,16.8,5.215361924162119,,,5,5,0
OpenML_1494_qsar-biodeg,K0032,pp,32.0,0.0,33.6,19.71801207018598,0.77454,0.0324958151151806,20.6,16.75708805252273,,,5,5,0
OpenML_1494_qsar-biodeg,K0064,pp,64.0,0.0,33.6,19.71801207018598,0.79152,0.0157957905785053,19.0,20.26079958935481,,,5,5,0
OpenML_1494_qsar-biodeg,NO_BUDGET,pp,,,33.6,19.71801207018598,0.78168,0.0484997628860183,19.4,8.561541917201597,,,5,5,0
OpenML_1504_steel-plates-fault,HPO_Kstar,pp,40.0,11.31370849898476,40.0,11.31370849898476,0.94688,0.005395090360689,11.2,5.495452665613635,,,5,5,0
OpenML_1504_steel-plates-fault,K0004,pp,4.0,0.0,40.0,11.31370849898476,0.93112,0.0397676627424846,9.2,3.898717737923585,,,5,5,0
OpenML_1504_steel-plates-fault,K0008,pp,8.0,0.0,40.0,11.31370849898476,0.9331,0.0204205778566621,7.6,2.6076809620810595,,,5,5,0
OpenML_1504_steel-plates-fault,K0016,pp,16.0,0.0,40.0,11.31370849898476,0.94648,0.0056468575331772,7.8,2.7748873851023217,,,5,5,0
OpenML_1504_steel-plates-fault,K0032,pp,32.0,0.0,40.0,11.31370849898476,0.94688,0.005395090360689,8.6,2.8809720581775866,,,5,5,0
OpenML_1504_steel-plates-fault,K0064,pp,64.0,0.0,40.0,11.31370849898476,0.9449,0.0235144636341125,8.4,4.449719092257397,,,5,5,0
OpenML_1504_steel-plates-fault,NO_BUDGET,pp,,,40.0,11.31370849898476,0.94688,0.005395090360689,9.6,3.646916505762094,,,5,5,0
OpenML_151_electricity,HPO_Kstar,pp,38.4,10.039920318408909,38.4,10.039920318408909,0.77666,0.0110183029546296,50.6,34.5224564595279,,,5,5,0
OpenML_151_electricity,K0004,pp,4.0,0.0,38.4,10.039920318408909,0.75422,0.0157967401700477,18.0,11.445523142259598,,,5,5,0
OpenML_151_electricity,K0008,pp,8.0,0.0,38.4,10.039920318408909,0.76898,0.0119562535938311,26.8,17.369513522260778,,,5,5,0
OpenML_151_electricity,K0016,pp,16.0,0.0,38.4,10.039920318408909,0.7774800000000001,0.0102852807448314,37.0,24.259018941416407,,,5,5,0
OpenML_151_electricity,K0032,pp,32.0,0.0,38.4,10.039920318408909,0.77362,0.0156184826407689,38.6,11.802542099056458,,,5,5,0
OpenML_151_electricity,K0064,pp,64.0,0.0,38.4,10.039920318408909,0.77232,0.0088753591476627,42.6,20.59854363784003,,,5,5,0
OpenML_151_electricity,NO_BUDGET,pp,,,38.4,10.039920318408909,0.7754199999999999,0.0062134531461981,46.6,34.01911227530783,,,5,5,0
OpenML_1590_adult,HPO_Kstar,pp,26.4,5.366563145999495,26.4,5.366563145999495,0.8004999999999999,0.0052263754170553,23.2,10.2810505299799,,,5,5,0
OpenML_1590_adult,K0004,pp,4.0,0.0,26.4,5.366563145999495,0.8015399999999999,0.004262393693689,16.6,4.393176527297759,,,5,5,0
OpenML_1590_adult,K0008,pp,8.0,0.0,26.4,5.366563145999495,0.8001400000000001,0.0111994642729016,19.2,7.463243262818116,,,5,5,0
OpenML_1590_adult,K0016,pp,16.0,0.0,26.4,5.366563145999495,0.8018000000000001,0.0045678222382224,18.0,5.196152422706632,,,5,5,0
OpenML_1590_adult,K0032,pp,32.0,0.0,26.4,5.366563145999495,0.7970200000000001,0.0048725763205926,18.2,11.819475453673908,,,5,5,0
OpenML_1590_adult,K0064,pp,64.0,0.0,26.4,5.366563145999495,0.79842,0.0087505428403042,18.4,8.08084154033477,,,5,5,0
OpenML_1590_adult,NO_BUDGET,pp,,,26.4,5.366563145999495,0.80472,0.0033573799308389,23.4,9.762171889492626,,,5,5,0
OpenML_1597_creditcard,HPO_Kstar,pp,23.2,11.099549540409289,23.2,11.099549540409289,0.90228,0.009664988360055,16.0,9.433981132056603,,,5,5,0
OpenML_1597_creditcard,K0004,pp,4.0,0.0,23.2,11.099549540409289,0.90988,0.0112479775959947,13.4,4.277849927241488,,,5,5,0
OpenML_1597_creditcard,K0008,pp,8.0,0.0,23.2,11.099549540409289,0.90766,0.0203814376332976,13.4,2.8809720581775866,,,5,5,0
OpenML_1597_creditcard,K0016,pp,16.0,0.0,23.2,11.099549540409289,0.90544,0.0107304706327355,16.0,7.035623639735144,,,5,5,0
OpenML_1597_creditcard,NO_BUDGET,pp,,,23.2,11.099549540409289,0.91188,0.0064340500464326,18.2,11.497825881443848,,,5,5,0
OpenML_1597_creditcard,K0032,pp,32.0,0.0,30.666666666666668,6.110100926607786,0.9110333333333336,0.003780652501002,22.666666666666668,10.408329997330664,,,3,3,0
OpenML_1597_creditcard,K0064,pp,64.0,0.0,30.666666666666668,6.110100926607786,0.9235333333333332,0.0178197456023742,21.666666666666668,11.590225767142474,,,3,3,0
OpenML_15_breast-w,HPO_Kstar,pp,31.2,18.19890106572372,31.2,18.19890106572372,0.94674,0.0114268543352928,18.2,7.694153624668538,,,5,5,0
OpenML_15_breast-w,K0004,pp,4.0,0.0,31.2,18.19890106572372,0.95198,0.020835954501774,15.0,7.035623639735144,,,5,5,0
OpenML_15_breast-w,K0008,pp,8.0,0.0,31.2,18.19890106572372,0.9511,0.0234059821413244,15.6,8.294576541331088,,,5,5,0
OpenML_15_breast-w,K0016,pp,16.0,0.0,31.2,18.19890106572372,0.94748,0.0107138695157258,17.2,9.654014708917735,,,5,5,0
OpenML_15_breast-w,NO_BUDGET,pp,,,31.2,18.19890106572372,0.94884,0.0118870938416418,17.6,9.91463564635635,,,5,5,0
OpenML_15_breast-w,K0032,pp,32.0,0.0,36.0,16.97056274847714,0.947825,0.0069629375984565,19.0,9.128709291752768,,,4,4,0
OpenML_15_breast-w,K0064,pp,64.0,0.0,36.0,16.97056274847714,0.9496,0.0159350766131408,20.25,7.544313531837517,,,4,4,0
OpenML_162_SEA(50000),HPO_Kstar,pp,31.2,18.41738309315414,31.2,18.41738309315414,0.8282399999999999,0.0031189741903388,42.8,37.47932763537788,,,5,5,0
OpenML_162_SEA(50000),K0004,pp,4.0,0.0,31.2,18.41738309315414,0.81988,0.0100986137662552,19.0,9.69535971483266,,,5,5,0
OpenML_162_SEA(50000),K0008,pp,8.0,0.0,31.2,18.41738309315414,0.82628,0.0040319970238084,27.6,15.109599597606817,,,5,5,0
OpenML_162_SEA(50000),K0016,pp,16.0,0.0,31.2,18.41738309315414,0.82492,0.0066194410640174,29.8,15.188811671753651,,,5,5,0
OpenML_162_SEA(50000),K0032,pp,32.0,0.0,31.2,18.41738309315414,0.8257200000000001,0.0050632993196136,37.2,25.58710612789184,,,5,5,0
OpenML_162_SEA(50000),K0064,pp,64.0,0.0,31.2,18.41738309315414,0.82874,0.0028535942248329,38.6,23.10411218809327,,,5,5,0
OpenML_162_SEA(50000),NO_BUDGET,pp,,,31.2,18.41738309315414,0.82828,0.003513829819442,41.0,20.518284528683196,,,5,5,0
OpenML_24_mushroom,HPO_Kstar,pp,35.2,12.13260071048248,35.2,12.13260071048248,0.9929,0.0046486557196677,8.4,2.701851217221259,,,5,5,0
OpenML_24_mushroom,K0004,pp,4.0,0.0,35.2,12.13260071048248,0.98774,0.0085368612498974,9.2,1.7888543819998317,,,5,5,0
OpenML_24_mushroom,K0008,pp,8.0,0.0,35.2,12.13260071048248,0.9856,0.0132768595684371,10.4,2.966479394838265,,,5,5,0
OpenML_24_mushroom,K0016,pp,16.0,0.0,35.2,12.13260071048248,0.98934,0.0056778517064115,9.6,2.701851217221259,,,5,5,0
OpenML_24_mushroom,K0032,pp,32.0,0.0,35.2,12.13260071048248,0.9914,0.0064865244931319,9.0,2.549509756796392,,,5,5,0
OpenML_24_mushroom,K0064,pp,64.0,0.0,35.2,12.13260071048248,0.9935,0.0037563279941985,9.4,2.073644135332772,,,5,5,0
OpenML_24_mushroom,NO_BUDGET,pp,,,35.2,12.13260071048248,0.9960600000000002,0.0028632149762111,8.2,2.04939015319192,,,5,5,0
OpenML_27_colic,HPO_Kstar,pp,26.8,7.155417527999327,26.8,7.155417527999327,0.78738,0.0545809673787484,4.0,2.549509756796392,,,5,5,0
OpenML_27_colic,K0004,pp,4.0,0.0,26.8,7.155417527999327,0.7837,0.0665099992482333,3.6,2.60768096208106,,,5,5,0
OpenML_27_colic,K0008,pp,8.0,0.0,26.8,7.155417527999327,0.7583,0.075218747663066,4.0,2.449489742783178,,,5,5,0
OpenML_27_colic,K0016,pp,16.0,0.0,26.8,7.155417527999327,0.7752600000000001,0.0625948320550506,4.6,2.3021728866442674,,,5,5,0
OpenML_27_colic,K0032,pp,32.0,0.0,29.0,6.0,0.8065249999999999,0.0371452441998524,3.0,0.816496580927726,,,4,4,0
OpenML_27_colic,K0064,pp,64.0,0.0,29.0,6.0,0.8098,0.03484910328832,3.75,2.0615528128088303,,,4,4,0
OpenML_27_colic,NO_BUDGET,pp,,,26.8,7.155417527999327,0.76932,0.0516649494338279,6.2,2.4899799195977463,,,5,5,0
OpenML_31_credit-g,HPO_Kstar,pp,32.6,24.99599967994879,32.6,24.99599967994879,0.70286,0.0338960617181406,8.2,4.324349662087931,,,5,5,0
OpenML_31_credit-g,K0004,pp,4.0,0.0,32.6,24.99599967994879,0.6835800000000001,0.0273982116204689,4.6,1.949358868961793,,,5,5,0
OpenML_31_credit-g,K0008,pp,8.0,0.0,32.6,24.99599967994879,0.67668,0.0208114631873878,6.2,3.492849839314596,,,5,5,0
OpenML_31_credit-g,K0016,pp,16.0,0.0,38.5,24.515301344262525,0.7009,0.0109019875863685,9.25,3.4034296427770228,,,4,4,0
OpenML_31_credit-g,K0032,pp,32.0,0.0,49.333333333333336,14.047538337136984,0.6809666666666666,0.0180073133291264,10.0,3.605551275463989,,,3,3,0
OpenML_31_credit-g,K0064,pp,64.0,0.0,49.333333333333336,14.047538337136984,0.6984,0.0672656673199634,10.333333333333334,4.932882862316248,,,3,3,0
OpenML_31_credit-g,NO_BUDGET,pp,,,32.6,24.99599967994879,0.68262,0.0155994230662547,8.4,3.209361307176242,,,5,5,0
OpenML_37_diabetes,HPO_Kstar,pp,18.4,9.633275663033835,18.4,9.633275663033835,0.71082,0.0380433568445267,11.8,7.52994023880668,,,5,5,0
OpenML_37_diabetes,K0004,pp,4.0,0.0,18.4,9.633275663033835,0.7494000000000001,0.0248276056034406,9.4,4.393176527297759,,,5,5,0
OpenML_37_diabetes,K0008,pp,8.0,0.0,18.4,9.633275663033835,0.72878,0.0352090471328037,8.2,3.5637059362410923,,,5,5,0
OpenML_37_diabetes,K0016,pp,16.0,0.0,18.4,9.633275663033835,0.7051200000000001,0.0372526106467721,11.6,6.024948132556828,,,5,5,0
OpenML_37_diabetes,K0032,pp,32.0,0.0,19.0,11.015141094572204,0.72275,0.0560391827206643,11.5,7.937253933193772,,,4,4,0
OpenML_37_diabetes,K0064,pp,64.0,0.0,19.0,11.015141094572204,0.7223249999999999,0.0516888366413225,11.75,8.73212459828649,,,4,4,0
OpenML_37_diabetes,NO_BUDGET,pp,,,18.4,9.633275663033835,0.72166,0.0381311945787173,11.4,6.50384501660364,,,5,5,0
OpenML_3_kr-vs-kp,HPO_Kstar,pp,37.6,10.430723848324238,37.6,10.430723848324238,0.92686,0.0237975418898675,9.0,1.224744871391589,,,5,5,0
OpenML_3_kr-vs-kp,K0004,pp,4.0,0.0,37.6,10.430723848324238,0.92846,0.0199725561709061,6.6,1.51657508881031,,,5,5,0
OpenML_3_kr-vs-kp,K0008,pp,8.0,0.0,37.6,10.430723848324238,0.9286,0.0224261008648405,8.2,2.4899799195977463,,,5,5,0
OpenML_3_kr-vs-kp,K0016,pp,16.0,0.0,37.6,10.430723848324238,0.94042,0.0072420301021191,8.4,2.3021728866442674,,,5,5,0
OpenML_3_kr-vs-kp,K0032,pp,32.0,0.0,37.6,10.430723848324238,0.9348,0.0186657440248172,9.2,1.9235384061671343,,,5,5,0
OpenML_3_kr-vs-kp,K0064,pp,64.0,0.0,37.6,10.430723848324238,0.93308,0.0198858492401003,8.4,2.073644135332772,,,5,5,0
OpenML_3_kr-vs-kp,NO_BUDGET,pp,,,37.6,10.430723848324238,0.91936,0.0185579632503138,9.8,1.4832396974191326,,,5,5,0
OpenML_44_spambase,HPO_Kstar,pp,40.0,19.595917942265423,40.0,19.595917942265423,0.8653000000000001,0.0124203462109556,17.6,3.714835124201342,,,5,5,0
OpenML_44_spambase,K0004,pp,4.0,0.0,40.0,19.595917942265423,0.8586599999999999,0.0171237554292275,14.2,6.3796551630946325,,,5,5,0
OpenML_44_spambase,K0008,pp,8.0,0.0,40.0,19.595917942265423,0.86502,0.0075227654489555,16.8,7.886697661252141,,,5,5,0
OpenML_44_spambase,K0016,pp,16.0,0.0,40.0,19.595917942265423,0.8798199999999999,0.0099467079981268,18.8,7.259476565152615,,,5,5,0
OpenML_44_spambase,K0032,pp,32.0,0.0,40.0,19.595917942265423,0.8724000000000001,0.0108094865743012,18.8,9.67987603226405,,,5,5,0
OpenML_44_spambase,K0064,pp,64.0,0.0,40.0,19.595917942265423,0.8659399999999999,0.0130354516607595,18.8,4.381780460041329,,,5,5,0
OpenML_44_spambase,NO_BUDGET,pp,,,40.0,19.595917942265423,0.86792,0.0151781751208766,18.6,7.021395872616783,,,5,5,0
OpenML_45557_Mammographic-Mass-Data-Set,HPO_Kstar,pp,20.8,13.971399357258385,20.8,13.971399357258385,0.7837799999999999,0.0305831162571769,7.6,5.594640292279745,,,5,5,0
OpenML_45557_Mammographic-Mass-Data-Set,K0004,pp,4.0,0.0,20.8,13.971399357258385,0.7884800000000001,0.0146822001076133,5.2,2.280350850198276,,,5,5,0
OpenML_45557_Mammographic-Mass-Data-Set,K0008,pp,8.0,0.0,20.8,13.971399357258385,0.77322,0.0109067410347912,5.0,2.1213203435596424,,,5,5,0
OpenML_45557_Mammographic-Mass-Data-Set,K0016,pp,16.0,0.0,20.8,13.971399357258385,0.7792999999999999,0.0292495299107524,3.8,2.4899799195977463,,,5,5,0
OpenML_45557_Mammographic-Mass-Data-Set,K0032,pp,32.0,0.0,24.0,13.856406460551018,0.76705,0.0159552499196973,6.0,3.366501646120693,,,4,4,0
OpenML_45557_Mammographic-Mass-Data-Set,K0064,pp,64.0,0.0,24.0,13.856406460551018,0.792325,0.015548713773171,6.25,2.0615528128088303,,,4,4,0
OpenML_45557_Mammographic-Mass-Data-Set,NO_BUDGET,pp,,,20.8,13.971399357258385,0.7843199999999999,0.0269372790014136,6.8,3.3466401061363023,,,5,5,0
OpenML_55_hepatitis,HPO_Kstar,pp,23.4,11.126544836560898,23.4,11.126544836560898,0.67468,0.1229756561275442,6.8,3.6331804249169903,,,5,5,0
OpenML_55_hepatitis,K0004,pp,4.0,0.0,23.4,11.126544836560898,0.6766599999999999,0.0818365627332917,5.4,3.361547262794322,,,5,5,0
OpenML_55_hepatitis,K0008,pp,8.0,0.0,23.4,11.126544836560898,0.6439999999999999,0.1146710294712661,5.8,2.588435821108957,,,5,5,0
OpenML_55_hepatitis,K0016,pp,16.0,0.0,27.0,8.86942313043338,0.775025,0.0743273558882147,9.5,3.0,,,4,4,0
OpenML_55_hepatitis,K0032,pp,32.0,0.0,30.666666666666668,6.110100926607786,0.6922333333333333,0.1087283465032616,8.333333333333334,4.163331998932265,,,3,3,0
OpenML_55_hepatitis,K0064,pp,64.0,0.0,30.666666666666668,6.110100926607786,0.7044333333333332,0.1024492720000163,9.333333333333334,3.214550253664318,,,3,3,0
