outer_seed,variant,variant_config/use_mask,variant_config/do_posthoc_pruning,variant_config/apply_masks_for_structure,variant_config/leaf_budget_on,metric/monitor_metric,metric/stage1_es_metric,metric/stage1_select_metric,metric/stage2_es_metric,metric/final_batch_size,hp/B_depth_leaf_budget_triple,hp/tau_cdf,hp/lr_feature,hp/lr_thresh,hp/lr_leaf,hp/lr_mask,hp/loss_type,hp/B,hp/D,hp/leaf_budget_K,hp/nominal_leaves,hp/leaf_budget_ratio,hp/hpo_batch_size,hp/final_batch_size,timing/final_fit_time_sec_full_train_from_cfg,timing/epochs_ran,raw/train/loss,raw/train/accuracy,raw/train/balanced_acc,raw/train/mcc,raw/train/aucroc,raw/train/auprc,raw/train/f1_macro,raw/train/ppv,raw/train/npv,raw/train/tn,raw/train/fp,raw/train/fn,raw/train/tp,raw/train/secs,raw/val/loss,raw/val/accuracy,raw/val/balanced_acc,raw/val/mcc,raw/val/aucroc,raw/val/auprc,raw/val/f1_macro,raw/val/ppv,raw/val/npv,raw/val/tn,raw/val/fp,raw/val/fn,raw/val/tp,raw/val/secs,raw/test/loss,raw/test/accuracy,raw/test/balanced_acc,raw/test/mcc,raw/test/aucroc,raw/test/auprc,raw/test/f1_macro,raw/test/ppv,raw/test/npv,raw/test/tn,raw/test/fp,raw/test/fn,raw/test/tp,raw/test/secs,raw/gap_train_test/fn,raw/gap_train_val/fn,raw/gap_val_test/fn,raw/gap_train_test/tn,raw/gap_train_val/tn,raw/gap_val_test/tn,raw/gap_train_test/fp,raw/gap_train_val/fp,raw/gap_val_test/fp,raw/gap_train_test/tp,raw/gap_train_val/tp,raw/gap_val_test/tp,raw/cx/routable_leaves,raw/cx/routable_branches_effective,raw/cx/decision_nodes,raw/cx/passthrough_nodes,raw/cx/arity_2_nodes,raw/cx/arity_3plus_nodes,raw/cx/trainval_pathlen_mean,raw/cx/trainval_pathlen_median,raw/cx/trainval_pathlen_p90,raw/cx/trainval_n,raw/cx/test_pathlen_mean,raw/cx/test_pathlen_median,raw/cx/test_pathlen_p90,raw/cx/test_n,pp/train/loss,pp/train/accuracy,pp/train/balanced_acc,pp/train/mcc,pp/train/aucroc,pp/train/auprc,pp/train/f1_macro,pp/train/ppv,pp/train/npv,pp/train/tn,pp/train/fp,pp/train/fn,pp/train/tp,pp/train/secs,pp/val/loss,pp/val/accuracy,pp/val/balanced_acc,pp/val/mcc,pp/val/aucroc,pp/val/auprc,pp/val/f1_macro,pp/val/ppv,pp/val/npv,pp/val/tn,pp/val/fp,pp/val/fn,pp/val/tp,pp/val/secs,pp/test/loss,pp/test/accuracy,pp/test/balanced_acc,pp/test/mcc,pp/test/aucroc,pp/test/auprc,pp/test/f1_macro,pp/test/ppv,pp/test/npv,pp/test/tn,pp/test/fp,pp/test/fn,pp/test/tp,pp/test/secs,pp/gap_train_test/fn,pp/gap_train_val/fn,pp/gap_val_test/fn,pp/gap_train_test/tn,pp/gap_train_val/tn,pp/gap_val_test/tn,pp/gap_train_test/fp,pp/gap_train_val/fp,pp/gap_val_test/fp,pp/gap_train_test/tp,pp/gap_train_val/tp,pp/gap_val_test/tp,pp/cx/routable_leaves,pp/cx/routable_branches_effective,pp/cx/decision_nodes,pp/cx/passthrough_nodes,pp/cx/arity_2_nodes,pp/cx/arity_3plus_nodes,pp/cx/train_reached_internal_nodes_full_depth,pp/cx/train_allocated_leaves_full_depth,pp/cx/train_active_branches_full_depth,pp/cx/trainhit_decision_nodes_full_depth,pp/cx/trainhit_passthrough_nodes_full_depth,pp/cx/trainhit_branches_effective_full_depth,pp/cx/pp_trainval_redirected_allocated_leaves_full_depth,pp/cx/pp_test_redirected_allocated_leaves_full_depth,pp/cx/trainval_pathlen_mean,pp/cx/trainval_pathlen_median,pp/cx/trainval_pathlen_p90,pp/cx/trainval_n,pp/cx/test_pathlen_mean,pp/cx/test_pathlen_median,pp/cx/test_pathlen_p90,pp/cx/test_n,dataset_folder,dataset_dir,dataset_id,dataset_name,n_samples,n_features,n_num_features,n_cat_features,final/test/balanced_acc,final/test/aucroc,final/test/acc,final/test/f1_macro,final/cx/test_pathlen_decisions_mean,final/cx/routable_leaves,final/cx/decision_nodes,final/cx/routable_branches_effective
0,A_no_mask_no_pp,False,False,False,False,balanced_acc,val_loss,val_loss,val_bacc,512,B4_D4_K64,0.4129317840217077,0.0480056508178277,0.0012968426831742,0.0158179534468179,0.0877359485031796,balanced_bce,4,4,64,256,0.25,256,512,38.38335566222668,,0.4483,0.7898,0.7858,0.5568,0.8647,0.7957,0.7762,0.6761,0.8661,6309,1583,975,3305,0.1253,0.4634,0.7766,0.7734,0.5312,0.8516,0.7826,0.7629,0.657,0.859,1548,426,254,816,0.029,0.4361,0.796,0.7951,0.5732,0.8747,0.808,0.7837,0.6804,0.8762,1968,498,278,1060,0.0366,697.0,721.0,-24.0,4341.0,4761.0,-420.0,1085.0,1157.0,-72.0,2245.0,2489.0,-244.0,125,171,47,16,8,39,3.4637223974763405,4.0,4.0,15216,3.464511041009464,4.0,4.0,3804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenML_1120_MagicTelescope,OpenML_1120_MagicTelescope,1120,MagicTelescope,19020,10,10,0,,,,,,,,
0,B_mask_no_pp,True,False,True,False,balanced_acc,val_loss,val_loss,val_bacc,512,B4_D4_K64,0.4129317840217077,0.0480056508178277,0.0012968426831742,0.0158179534468179,0.0877359485031796,balanced_bce,4,4,64,256,0.25,256,512,40.90902731195092,,0.466,0.7996,0.7835,0.5635,0.8522,0.7746,0.7817,0.7092,0.8509,6612,1280,1159,3121,0.1246,0.4618,0.8101,0.7924,0.584,0.8534,0.7707,0.792,0.7286,0.8547,1682,292,286,784,0.0292,0.4462,0.8181,0.8064,0.6061,0.8666,0.7953,0.8028,0.7297,0.8699,2086,380,312,1026,0.0354,847.0,873.0,-26.0,4526.0,4930.0,-404.0,900.0,988.0,-88.0,2095.0,2337.0,-242.0,61,91,31,6,11,20,3.6376840168243953,4.0,4.0,15216,3.627497371188223,4.0,4.0,3804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenML_1120_MagicTelescope,OpenML_1120_MagicTelescope,1120,MagicTelescope,19020,10,10,0,,,,,,,,
0,C_mask_pp,True,True,True,False,balanced_acc,val_loss,val_loss,val_bacc,512,B4_D4_K64,0.4129317840217077,0.0480056508178277,0.0012968426831742,0.0158179534468179,0.0877359485031796,balanced_bce,4,4,64,256,0.25,256,512,40.86941434070468,,0.466,0.7996,0.7835,0.5635,0.8522,0.7746,0.7817,0.7092,0.8509,6612,1280,1159,3121,0.1147,0.4618,0.8101,0.7924,0.584,0.8534,0.7707,0.792,0.7286,0.8547,1682,292,286,784,0.0302,0.4462,0.8181,0.8064,0.6061,0.8666,0.7953,0.8028,0.7297,0.8699,2086,380,312,1026,0.0378,847.0,873.0,-26.0,4526.0,4930.0,-404.0,900.0,988.0,-88.0,2095.0,2337.0,-242.0,61,91,31,6,11,20,3.6376840168243953,4.0,4.0,15216,3.627497371188223,4.0,4.0,3804,0.466,0.7996,0.7835,0.5635,0.8522,0.7746,0.7817,0.7092,0.8509,6612.0,1280.0,1159.0,3121.0,0.2907,0.4618,0.8101,0.7924,0.584,0.8534,0.7707,0.792,0.7286,0.8547,1682.0,292.0,286.0,784.0,0.0404,0.4462,0.8181,0.8064,0.6061,0.8666,0.7953,0.8028,0.7297,0.8699,2086.0,380.0,312.0,1026.0,0.0544,847.0,873.0,-26.0,4526.0,4930.0,-404.0,900.0,988.0,-88.0,2095.0,2337.0,-242.0,50.0,77.0,28.0,7.0,12.0,16.0,35.0,50.0,84.0,28.0,7.0,77.0,50.0,46.0,3.581361770629883,4.0,4.0,15216.0,3.56782341003418,4.0,4.0,3804.0,OpenML_1120_MagicTelescope,OpenML_1120_MagicTelescope,1120,MagicTelescope,19020,10,10,0,0.8064,0.8666,,0.8028,,50.0,28.0,77.0
0,D_no_mask_pp,False,True,False,False,balanced_acc,val_loss,val_loss,val_bacc,512,B4_D4_K64,0.4129317840217077,0.0480056508178277,0.0012968426831742,0.0158179534468179,0.0877359485031796,balanced_bce,4,4,64,256,0.25,256,512,37.97964284941554,,0.4483,0.7898,0.7858,0.5568,0.8647,0.7957,0.7762,0.6761,0.8661,6309,1583,975,3305,0.113,0.4634,0.7766,0.7734,0.5312,0.8516,0.7826,0.7629,0.657,0.859,1548,426,254,816,0.0278,0.4361,0.796,0.7951,0.5732,0.8747,0.808,0.7837,0.6804,0.8762,1968,498,278,1060,0.0362,697.0,721.0,-24.0,4341.0,4761.0,-420.0,1085.0,1157.0,-72.0,2245.0,2489.0,-244.0,125,171,47,16,8,39,3.4637223974763405,4.0,4.0,15216,3.464511041009464,4.0,4.0,3804,0.4483,0.7898,0.7858,0.5568,0.8647,0.7957,0.7762,0.6761,0.8661,6309.0,1583.0,975.0,3305.0,0.176,0.4634,0.7766,0.7734,0.5312,0.8516,0.7826,0.7629,0.657,0.859,1548.0,426.0,254.0,816.0,0.0412,0.4363,0.796,0.7951,0.5732,0.8747,0.8078,0.7837,0.6804,0.8762,1968.0,498.0,278.0,1060.0,0.0511,697.0,721.0,-24.0,4341.0,4761.0,-420.0,1085.0,1157.0,-72.0,2245.0,2489.0,-244.0,111.0,155.0,45.0,18.0,9.0,36.0,63.0,111.0,173.0,45.0,18.0,155.0,111.0,100.0,3.454127311706543,4.0,4.0,15216.0,3.453995704650879,4.0,4.0,3804.0,OpenML_1120_MagicTelescope,OpenML_1120_MagicTelescope,1120,MagicTelescope,19020,10,10,0,0.7951,0.8747,,0.7837,,111.0,45.0,155.0
1,A_no_mask_no_pp,False,False,False,False,balanced_acc,val_loss,val_loss,val_bacc,512,B4_D4_K24,0.2238051645350471,0.0733168616393995,0.0184851313436387,0.0112450753970496,0.0774541775907041,balanced_bce,4,4,24,256,0.09375,256,512,39.72771245241165,,0.438,0.8115,0.8002,0.5929,0.8708,0.8048,0.796,0.7189,0.8666,6617,1275,1019,3261,0.107,0.4366,0.7983,0.7865,0.565,0.869,0.8085,0.782,0.6996,0.8575,1631,343,271,799,0.027,0.4404,0.8036,0.7904,0.5747,0.8676,0.8014,0.7871,0.7103,0.8583,2059,407,340,998,0.0341,679.0,748.0,-69.0,4558.0,4986.0,-428.0,868.0,932.0,-64.0,2263.0,2462.0,-199.0,84,119,36,3,8,28,3.9261961093585698,4.0,4.0,15216,3.9240273396424814,4.0,4.0,3804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenML_1120_MagicTelescope,OpenML_1120_MagicTelescope,1120,MagicTelescope,19020,10,10,0,,,,,,,,
1,B_mask_no_pp,True,False,True,False,balanced_acc,val_loss,val_loss,val_bacc,512,B4_D4_K24,0.2238051645350471,0.0733168616393995,0.0184851313436387,0.0112450753970496,0.0774541775907041,balanced_bce,4,4,24,256,0.09375,256,512,49.45909260958433,,0.4298,0.8115,0.8058,0.5986,0.8775,0.821,0.798,0.709,0.877,6510,1382,913,3367,0.1166,0.4397,0.8029,0.8001,0.5846,0.8739,0.8164,0.7901,0.6923,0.8771,1598,376,224,846,0.0286,0.4339,0.8068,0.8009,0.5889,0.8749,0.8171,0.7931,0.7028,0.8735,2024,442,293,1045,0.035,620.0,689.0,-69.0,4486.0,4912.0,-426.0,940.0,1006.0,-66.0,2322.0,2521.0,-199.0,86,123,38,10,7,31,3.853115141955836,4.0,4.0,15216,3.854889589905363,4.0,4.0,3804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenML_1120_MagicTelescope,OpenML_1120_MagicTelescope,1120,MagicTelescope,19020,10,10,0,,,,,,,,
1,C_mask_pp,True,True,True,False,balanced_acc,val_loss,val_loss,val_bacc,512,B4_D4_K24,0.2238051645350471,0.0733168616393995,0.0184851313436387,0.0112450753970496,0.0774541775907041,balanced_bce,4,4,24,256,0.09375,256,512,49.66895302385092,,0.4298,0.8115,0.8058,0.5986,0.8775,0.821,0.798,0.709,0.877,6510,1382,913,3367,0.1235,0.4397,0.8029,0.8001,0.5846,0.8739,0.8164,0.7901,0.6923,0.8771,1598,376,224,846,0.0286,0.4339,0.8068,0.8009,0.5889,0.8749,0.8171,0.7931,0.7028,0.8735,2024,442,293,1045,0.0357,620.0,689.0,-69.0,4486.0,4912.0,-426.0,940.0,1006.0,-66.0,2322.0,2521.0,-199.0,86,123,38,10,7,31,3.853115141955836,4.0,4.0,15216,3.854889589905363,4.0,4.0,3804,0.4298,0.8115,0.8058,0.5986,0.8775,0.821,0.798,0.709,0.877,6510.0,1382.0,913.0,3367.0,0.1624,0.4397,0.8029,0.8001,0.5846,0.8739,0.8164,0.7901,0.6923,0.8771,1598.0,376.0,224.0,846.0,0.0416,0.4339,0.8068,0.8009,0.5889,0.8749,0.8171,0.7931,0.7028,0.8735,2024.0,442.0,293.0,1045.0,0.0513,620.0,689.0,-69.0,4486.0,4912.0,-426.0,940.0,1006.0,-66.0,2322.0,2521.0,-199.0,60.0,90.0,31.0,11.0,10.0,21.0,42.0,60.0,101.0,31.0,11.0,90.0,60.0,58.0,3.849829196929932,4.0,4.0,15216.0,3.852260828018189,4.0,4.0,3804.0,OpenML_1120_MagicTelescope,OpenML_1120_MagicTelescope,1120,MagicTelescope,19020,10,10,0,0.8009,0.8749,,0.7931,,60.0,31.0,90.0
1,D_no_mask_pp,False,True,False,False,balanced_acc,val_loss,val_loss,val_bacc,512,B4_D4_K24,0.2238051645350471,0.0733168616393995,0.0184851313436387,0.0112450753970496,0.0774541775907041,balanced_bce,4,4,24,256,0.09375,256,512,39.23679022118449,,0.438,0.8115,0.8002,0.5929,0.8708,0.8048,0.796,0.7189,0.8666,6617,1275,1019,3261,0.1189,0.4366,0.7983,0.7865,0.565,0.869,0.8085,0.782,0.6996,0.8575,1631,343,271,799,0.0281,0.4404,0.8036,0.7904,0.5747,0.8676,0.8014,0.7871,0.7103,0.8583,2059,407,340,998,0.0345,679.0,748.0,-69.0,4558.0,4986.0,-428.0,868.0,932.0,-64.0,2263.0,2462.0,-199.0,84,119,36,3,8,28,3.9261961093585698,4.0,4.0,15216,3.9240273396424814,4.0,4.0,3804,0.438,0.8115,0.8002,0.5929,0.8708,0.8048,0.796,0.7189,0.8666,6617.0,1275.0,1019.0,3261.0,0.1601,0.4366,0.7983,0.7865,0.565,0.869,0.8085,0.782,0.6996,0.8575,1631.0,343.0,271.0,799.0,0.0399,0.4404,0.8036,0.7904,0.5747,0.8676,0.8014,0.7871,0.7103,0.8583,2059.0,407.0,340.0,998.0,0.0509,679.0,748.0,-69.0,4558.0,4986.0,-428.0,868.0,932.0,-64.0,2263.0,2462.0,-199.0,64.0,96.0,33.0,4.0,13.0,20.0,37.0,64.0,100.0,33.0,4.0,96.0,64.0,61.0,3.924224615097046,4.0,4.0,15216.0,3.921398639678955,4.0,4.0,3804.0,OpenML_1120_MagicTelescope,OpenML_1120_MagicTelescope,1120,MagicTelescope,19020,10,10,0,0.7904,0.8676,,0.7871,,64.0,33.0,96.0
2,A_no_mask_no_pp,False,False,False,False,balanced_acc,val_loss,val_loss,val_bacc,512,B4_D4_K48,0.1383802510010631,0.0630581039529476,0.0154791157283805,0.0114560036468989,0.0031031736040474,balanced_bce,4,4,48,256,0.1875,256,512,47.44528317078948,,0.4238,0.8266,0.807,0.6176,0.8763,0.8227,0.8087,0.7599,0.8614,6890,1002,1109,3171,0.116,0.4096,0.8246,0.8059,0.6139,0.8882,0.8398,0.8069,0.7543,0.8618,1715,259,275,795,0.0279,0.4245,0.8257,0.8018,0.613,0.8734,0.8178,0.8061,0.7689,0.8537,2176,290,373,965,0.0344,736.0,834.0,-98.0,4714.0,5175.0,-461.0,712.0,743.0,-31.0,2206.0,2376.0,-170.0,165,227,63,10,8,55,3.842139852786541,4.0,4.0,15216,3.845688748685594,4.0,4.0,3804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenML_1120_MagicTelescope,OpenML_1120_MagicTelescope,1120,MagicTelescope,19020,10,10,0,,,,,,,,
2,B_mask_no_pp,True,False,True,False,balanced_acc,val_loss,val_loss,val_bacc,512,B4_D4_K48,0.1383802510010631,0.0630581039529476,0.0154791157283805,0.0114560036468989,0.0031031736040474,balanced_bce,4,4,48,256,0.1875,256,512,45.059204284101725,,0.4375,0.8119,0.7986,0.5917,0.8665,0.8051,0.7957,0.7229,0.8634,6655,1237,1053,3227,0.1206,0.421,0.819,0.8059,0.6067,0.8779,0.8273,0.8032,0.7336,0.8681,1678,296,255,815,0.0285,0.4348,0.8173,0.8008,0.6003,0.8631,0.8084,0.8001,0.738,0.861,2112,354,341,997,0.0368,712.0,798.0,-86.0,4543.0,4977.0,-434.0,883.0,941.0,-58.0,2230.0,2412.0,-182.0,156,221,66,8,18,48,3.9678627760252367,4.0,4.0,15216,3.9660883280757098,4.0,4.0,3804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenML_1120_MagicTelescope,OpenML_1120_MagicTelescope,1120,MagicTelescope,19020,10,10,0,,,,,,,,
