dataset,test__auroc_mean,test__auroc_std,test__auroc_n,test__bal_acc_mean,test__bal_acc_std,test__bal_acc_n,cx__n_leaves_struct_mean,cx__n_leaves_struct_std,cx__n_leaves_struct_n,cx__test_pathlen_decisions_mean_mean,cx__test_pathlen_decisions_mean_std,cx__test_pathlen_decisions_mean_n,time__final_fit_time_mean,time__final_fit_time_std,time__final_fit_time_n,time__final_infer_time_mean,time__final_infer_time_std,time__final_infer_time_n
openml_1046,0.944684502,0.001724198,5,0.907530683,0.005570924,5,8.6,0.547722558,5,3.197555484,0.014880121,5,0.022244915,0.005886479,5,0.000697087,3.33E-05,5
openml_1049,0.861035156,0.043659816,5,0.816319444,0.062107047,5,7.2,1.095445115,5,2.765753425,0.192278586,5,0.006775643,0.002813168,5,0.000545149,0.000133858,5
openml_1050,0.752402135,0.040842955,5,0.721174377,0.046597068,5,12.4,3.130495168,5,3.607028754,0.63721402,5,0.007136955,0.003829099,5,0.000458121,1.32E-05,5
openml_1053,0.708824174,0.020415725,5,0.657654651,0.015120279,5,11,3.31662479,5,3.552319706,0.52532268,5,0.027242657,0.015495945,5,0.000742676,6.62E-05,5
openml_1063,0.77584885,0.027491976,5,0.756900329,0.023174353,5,8,3.535533906,5,2.952380952,1.140016311,5,0.002203138,0.000317182,5,0.000430537,5.31E-05,5
openml_1067,0.778353803,0.011170479,5,0.718168498,0.015824504,5,11.6,3.646916506,5,3.665876777,0.350666867,5,0.002922069,0.000461964,5,0.000454378,3.51E-05,5
openml_1068,0.757326892,0.046608275,5,0.749758454,0.038096926,5,6.6,3.974921383,5,2.593693694,0.882114945,5,0.003723802,0.000770922,5,0.000406916,1.07E-05,5
openml_1116,0.999500774,0.001097851,5,0.99807454,0.002049723,5,2.8,1.303840481,5,1.381212121,0.527356098,5,0.019907492,0.016124482,5,0.001165951,0.000204034,5
openml_1120,0.827289311,0.059673593,5,0.75429755,0.05509657,5,14.8,1.303840481,5,3.983228181,0.021928451,5,0.085429198,0.029564509,5,0.000894884,3.52E-05,5
openml_1219,0.658506794,0.003506419,5,0.623052836,0.002686771,5,13.8,1.095445115,5,3.941594803,0.026883237,5,1.840240555,0.26919563,5,0.010647928,0.001069852,5
openml_1461,0.850522755,0.010095737,5,0.793402161,0.004694272,5,10.6,2.701851217,5,3.343470087,0.376156874,5,0.084420177,0.006739629,5,0.001906702,7.46E-05,5
openml_1462,0.983740491,0.013854601,5,0.957607415,0.018148791,5,11.6,1.516575089,5,3.499636364,0.39606828,5,0.004323713,0.000896282,5,0.000516763,0.000245155,5
openml_1464,0.673148148,0.051617424,5,0.642105263,0.040669167,5,7.4,4.929503018,5,2.476,1.157099823,5,0.002017306,0.000192875,5,0.000406255,2.99E-05,5
openml_1467,0.781593715,0.038932228,5,0.749494949,0.060983672,5,5.6,1.673320053,5,2.574074074,0.364772511,5,0.002004152,0.000146272,5,0.000419872,2.04E-05,5
openml_1471,0.740054985,0.012890137,5,0.690204787,0.010972615,5,13.4,0.894427191,5,3.986648865,0.002497769,5,0.041829028,0.008211524,5,0.001044079,0.000353713,5
openml_1480,0.674698795,0.028088369,5,0.655421687,0.027591773,5,5.8,1.788854382,5,2.936752137,0.661513063,5,0.001932287,6.67E-05,5,0.000425853,4.39E-05,5
openml_1485,0.818850592,0.025309556,5,0.753846154,0.022344135,5,15.4,0.894427191,5,3.946923077,0.111311108,5,0.251937032,0.010879396,5,0.001394761,0.000188508,5
openml_1486,0.968244034,0.002597061,5,0.920420828,0.006280903,5,14.8,0.447213595,5,3.988219933,0.021313989,5,0.159509451,0.006529799,5,0.004369532,8.40E-05,5
openml_1487,0.841328947,0.03101437,5,0.778618421,0.025706316,5,8.2,2.949576241,5,2.947928994,0.584862679,5,0.018134048,0.012273533,5,0.000578197,5.01E-05,5
