dataset,folder,json_path,gradtree__test__bal_acc_mean,gradtree__test__bal_acc_std,gradtree__test__bal_acc_n,gradtree__test__auroc_mean,gradtree__test__auroc_std,gradtree__test__auroc_n,gradtree__cx__depth_mean,gradtree__cx__depth_std,gradtree__cx__depth_n,gradtree__cx__leaves_mean,gradtree__cx__leaves_std,gradtree__cx__leaves_n,gradtree__cx__internal_mean,gradtree__cx__internal_std,gradtree__cx__internal_n,timing__final_fit_time_sec_mean,timing__final_fit_time_sec_std,timing__final_fit_time_sec_n
OpenML_1120_MagicTelescope,OpenML_1120_MagicTelescope,OpenML_1120_MagicTelescope/outer_split_summary_mean_std.json,0.7526054793623776,0.02107072049299033,5,0.8422988215212692,0.0020636110044747243,5,3.8,0.4472135954999579,5,14.4,3.5777087639996634,5,13.4,3.5777087639996634,5,35.297283669002354,7.367484366632584,5
OpenML_1219_Click_prediction_small,OpenML_1219_Click_prediction_small,OpenML_1219_Click_prediction_small/outer_split_summary_mean_std.json,0.5,0.0,5,0.5882991924996546,0.026922458152578974,5,2.0,1.0,5,4.8,3.0331501776206204,5,3.8,3.0331501776206204,5,358.77603626083584,42.585028169210254,5
OpenML_1461_bank-marketing,OpenML_1461_bank-marketing,OpenML_1461_bank-marketing/outer_split_summary_mean_std.json,0.5802987643419313,0.08035289663194752,5,0.827208186900533,0.021639986438633674,5,3.6,0.5477225575051661,5,12.8,4.381780460041329,5,11.8,4.381780460041329,5,115.26558113414794,124.54020970450686,5
OpenML_1462_banknote-authentication,OpenML_1462_banknote-authentication,OpenML_1462_banknote-authentication/outer_split_summary_mean_std.json,0.9600771456123433,0.018846061176338916,5,0.9714882674381228,0.018281364240158884,5,4.0,0.0,5,16.0,0.0,5,15.0,0.0,5,9.645659707859158,2.3742156862174664,5
OpenML_1464_blood-transfusion-service-center,OpenML_1464_blood-transfusion-service-center,OpenML_1464_blood-transfusion-service-center/outer_split_summary_mean_std.json,0.5963450292397661,0.03254935641856134,5,0.6982699805068225,0.05388900148840101,5,3.6,0.5477225575051661,5,12.8,4.381780460041329,5,11.8,4.381780460041329,5,16.828453154861926,9.328031775265986,5
OpenML_1471_eeg-eye-state,OpenML_1471_eeg-eye-state,OpenML_1471_eeg-eye-state/outer_split_summary_mean_std.json,0.6754108245762961,0.015871030237317625,5,0.7253314089241847,0.016753505900388724,5,4.0,0.0,5,16.0,0.0,5,15.0,0.0,5,51.47194824870676,45.13124618867044,5
OpenML_1489_phoneme,OpenML_1489_phoneme,OpenML_1489_phoneme/outer_split_summary_mean_std.json,0.649547046096421,0.09639107855713853,5,0.7772391695707467,0.08198086385361605,5,2.4,1.140175425099138,5,6.8,5.585696017507576,5,5.8,5.585696017507576,5,29.27389312181622,13.951219856489804,5
OpenML_1494_qsar-biodeg,OpenML_1494_qsar-biodeg,OpenML_1494_qsar-biodeg/outer_split_summary_mean_std.json,0.7588631790744467,0.03481393017835124,5,0.8200301810865191,0.039207436628948704,5,3.8,0.4472135954999579,5,14.4,3.5777087639996634,5,13.4,3.5777087639996634,5,27.61000957880169,7.945794975489168,5
OpenML_1504_steel-plates-fault,OpenML_1504_steel-plates-fault,OpenML_1504_steel-plates-fault/outer_split_summary_mean_std.json,0.8680402449693789,0.077096027534945,5,0.9084893554972295,0.03942738206847542,5,3.8,0.4472135954999579,5,14.4,3.5777087639996634,5,13.4,3.5777087639996634,5,13.055921193957328,9.030464501682074,5
OpenML_151_electricity,OpenML_151_electricity,OpenML_151_electricity/outer_split_summary_mean_std.json,0.7365015457968478,0.004269012135018241,5,0.7743545625424819,0.0330822558855414,5,3.0,1.224744871391589,5,10.0,6.0,5,9.0,6.0,5,180.120501075685,94.12982231906742,5
