dataset,folder,json_path,mbndt__test__balanced_acc_mean,mbndt__test__balanced_acc_std,mbndt__test__balanced_acc_n,mbndt__cx__routable_leaves_mean,mbndt__cx__routable_leaves_std,mbndt__cx__routable_leaves_n,mbndt__cx__test_pathlen_mean_mean,mbndt__cx__test_pathlen_mean_std,mbndt__cx__test_pathlen_mean_n,mbndt_pp__test__balanced_acc_mean,mbndt_pp__test__balanced_acc_std,mbndt_pp__test__balanced_acc_n,mbndt_pp__test__aucroc_mean,mbndt_pp__test__aucroc_std,mbndt_pp__test__aucroc_n,mbndt_pp__cx__routable_leaves_mean,mbndt_pp__cx__routable_leaves_std,mbndt_pp__cx__routable_leaves_n,mbndt_pp__cx__test_pathlen_mean_mean,mbndt_pp__cx__test_pathlen_mean_std,mbndt_pp__cx__test_pathlen_mean_n,timing__final_fit_time_sec_mean,timing__final_fit_time_sec_std,timing__final_fit_time_sec_n,mbndt_pp__test__secs_mean,mbndt_pp__test__secs_std,mbndt_pp__test__secs_n
OpenML_1120_MagicTelescope,OpenML_1120_MagicTelescope,OpenML_1120_MagicTelescope/outer_split_summary_mean_std.json,0.79792,0.00236050841981132,5,110.4,48.634350000796765,5,3.6394321766561513,0.269280650551676,5,0.79796,0.0024306377763871154,5,0.87056,0.003713892836364571,5,77.0,26.61766330841233,5,3.5960567474365233,0.22593521194496705,5,75.54516215138138,11.849464083552048,5,0.07204,0.023624838623787465,5
OpenML_1219_Click_prediction_small,OpenML_1219_Click_prediction_small,OpenML_1219_Click_prediction_small/outer_split_summary_mean_std.json,0.6147,0.00970334993700631,5,44.6,50.421225689187686,5,3.516407374494662,0.471607429155611,5,0.6147,0.00970334993700631,5,0.63582,0.019084208131332023,5,19.0,17.406895185529212,5,3.0925316333770754,0.4274674716136191,5,729.357798599638,145.15052863456955,5,1.17436,0.2193756663807543,5
OpenML_1461_bank-marketing,OpenML_1461_bank-marketing,OpenML_1461_bank-marketing/outer_split_summary_mean_std.json,0.80702,0.007976026579694913,5,50.6,26.79178978717174,5,3.6245936083158243,0.368300791181614,5,0.80702,0.007976026579694913,5,0.8653000000000001,0.008051086883148116,5,19.0,4.69041575982343,5,3.303262138366699,0.23870387115471503,5,126.5011133139953,39.29209273981779,5,0.10616,0.01198553294601454,5
OpenML_1462_banknote-authentication,OpenML_1462_banknote-authentication,OpenML_1462_banknote-authentication/outer_split_summary_mean_std.json,0.99214,0.005264313820432825,5,69.4,11.436782764396638,5,3.0647272727272727,0.06692292347133684,5,0.99132,0.0053185524346385914,5,0.9981,0.0024989997999199493,5,37.4,5.683308895353129,5,2.9898181915283204,0.06887039602797083,5,27.630343717336654,4.071515863679313,5,0.00776,0.000944986772394196,5
OpenML_1464_blood-transfusion-service-center,OpenML_1464_blood-transfusion-service-center,OpenML_1464_blood-transfusion-service-center/outer_split_summary_mean_std.json,0.66578,0.053716170749598294,5,16.2,17.81010948871455,5,2.4533333333333336,0.9021825388098206,5,0.66578,0.053716170749598294,5,0.68994,0.05663923551743964,5,9.0,6.48074069840786,5,2.259999990463257,0.8306356488085758,5,15.450928601622582,3.9565203357536687,5,0.0035000000000000005,0.0003240370349203931,5
OpenML_1471_eeg-eye-state,OpenML_1471_eeg-eye-state,OpenML_1471_eeg-eye-state/outer_split_summary_mean_std.json,0.73984,0.003896536923987754,5,135.6,40.5006172792465,5,3.8459946595460615,0.10091224781391024,5,0.73986,0.00386626434688576,5,0.8059000000000001,0.00956896023609672,5,106.2,47.17202560840482,5,3.811615514755249,0.11850109206689337,5,79.88200666513293,5.951063847676224,5,0.049319999999999996,0.008168659620770107,5
OpenML_1489_phoneme,OpenML_1489_phoneme,OpenML_1489_phoneme/outer_split_summary_mean_std.json,0.79754,0.009134440322209118,5,50.2,34.142349069740355,5,3.393524514338575,0.37753462977951796,5,0.79754,0.009134440322209118,5,0.8618600000000001,0.013125661888072557,5,38.8,21.05231578710523,5,3.378908395767212,0.378954939682104,5,41.65662579610944,9.534584243769462,5,0.039999999999999994,0.024149327112778937,5
OpenML_1494_qsar-biodeg,OpenML_1494_qsar-biodeg,OpenML_1494_qsar-biodeg/outer_split_summary_mean_std.json,0.80304,0.03383567643774835,5,50.8,30.326556019436165,5,3.6881516587677723,0.4015787223291755,5,0.8023199999999999,0.03354932190074784,5,0.8276600000000001,0.03279996951218096,5,18.6,8.734987120768983,5,3.3601895809173583,0.4618361495017123,5,21.85872830748558,5.605656777427433,5,0.00524,0.0008706319543871565,5
OpenML_1504_steel-plates-fault,OpenML_1504_steel-plates-fault,OpenML_1504_steel-plates-fault/outer_split_summary_mean_std.json,0.9468799999999999,0.005395090360689072,5,122.2,77.9467767133446,5,3.7624678663239073,0.23475518727256042,5,0.9468799999999999,0.005395090360689072,5,0.9468799999999999,0.005395090360689072,5,11.2,5.495452665613635,5,3.511053991317749,0.2627860204670608,5,25.342614440619947,6.829572434627526,5,0.012199999999999999,0.005744127435912264,5
OpenML_151_electricity,OpenML_151_electricity,OpenML_151_electricity/outer_split_summary_mean_std.json,0.77412,0.0061973381382655155,5,82.4,62.827541731313985,5,3.7285004965243296,0.236763406761728,5,0.77412,0.0061973381382655155,5,0.8385999999999999,0.00938269684046115,5,49.0,31.496031496047245,5,3.5104931831359862,0.30551463478480223,5,169.21106804106384,27.571745501719786,5,0.18534,0.05850562366131995,5
