dataset,folder,json_path,test__auroc_mean,test__auroc_std,test__auroc_n,test__bal_acc_mean,test__bal_acc_std,test__bal_acc_n,cx__n_leaves_struct_mean,cx__n_leaves_struct_std,cx__n_leaves_struct_n,cx__test_pathlen_decisions_mean_mean,cx__test_pathlen_decisions_mean_std,cx__test_pathlen_decisions_mean_n,time__final_fit_time_mean,time__final_fit_time_std,time__final_fit_time_n,time__final_infer_time_mean,time__final_infer_time_std,time__final_infer_time_n
openml_1046,openml_1046,openml_1046/outer_reports_mean_std.json,0.9152424804750684,0.0039562626458373995,5,0.9152424804750684,0.003956262645837471,5,7.2,0.4472135954999579,5,2.9965262142167903,0.0020009431990987907,5,33.88513460420072,4.1239656511547444,5,0.015389013662934303,0.00019597657402783733,5
openml_1049,openml_1049,openml_1049/outer_reports_mean_std.json,0.5982204861111111,0.010217644445047082,5,0.5982204861111111,0.010217644445047082,5,6.0,1.4142135623730951,5,1.871232876712329,0.7508970678163852,5,5.118390258587897,3.6602026798038696,5,0.004973705857992172,0.0012390039496165367,5
openml_1050,openml_1050,openml_1050/outer_reports_mean_std.json,0.5518238434163701,0.01010856673099626,5,0.5518238434163701,0.010108566730996303,5,7.4,0.8944271909999159,5,2.824920127795527,0.38615480904330984,5,4.401046008430422,5.019624781920021,5,0.004902983456850052,0.0006559153836949687,5
openml_1053,openml_1053,openml_1053/outer_reports_mean_std.json,0.5516614904311786,0.01107693697568657,5,0.5516614904311787,0.011076936975686562,5,7.0,1.4142135623730951,5,2.6817638952687184,0.4361839124674099,5,26.93336713537574,29.79301691038443,5,0.012004270404577255,0.001075550423506174,5
openml_1063,openml_1063,openml_1063/outer_reports_mean_std.json,0.693921139101862,0.0463821798807532,5,0.6939211391018619,0.04638217988075326,5,4.4,2.073644135332772,5,1.7066666666666666,0.8339834199018599,5,1.1710373274981976,1.3917640843239787,5,0.004055659286677837,0.0010524412805214241,5
openml_1067,openml_1067,openml_1067/outer_reports_mean_std.json,0.5865546218487394,0.01911977114052727,5,0.5865546218487395,0.01911977114052728,5,7.2,1.0954451150103321,5,2.6464454976303315,0.4846142478358879,5,11.551838425174356,10.107502487363382,5,0.004797271080315113,0.0005425866635484436,5
openml_1068,openml_1068,openml_1068/outer_reports_mean_std.json,0.6327536231884058,0.04359538705692919,5,0.6327536231884058,0.04359538705692919,5,7.0,0.7071067811865476,5,2.8684684684684685,0.12374686363392094,5,6.809428123198449,2.5201708804350784,5,0.0044511593878269196,0.0006106857665557092,5
openml_1116,openml_1116,openml_1116/outer_reports_mean_std.json,0.9978505056207029,0.002127736468130813,5,0.9978505056207029,0.002127736468130813,5,2.8,1.0954451150103321,5,1.064848484848485,0.08879744492886783,5,10.464510884694755,10.232274509590637,5,0.007428154349327087,0.0008707149000354121,5
openml_1120,openml_1120,openml_1120/outer_reports_mean_std.json,0.7731205379711158,0.008480991341570281,5,0.7731205379711158,0.008480991341570305,5,7.8,0.44721359549995787,5,2.9967928496319667,0.007171406236986762,5,260.11625841781495,112.18885922643295,5,0.02094539552927017,0.0018960956050000338,5
openml_1219,openml_1219,openml_1219/outer_reports_mean_std.json,0.5127853475128253,0.0031397533115051016,5,0.5127853475128253,0.0031397533115051016,5,4.8,1.7888543819998317,5,1.6103833685870559,0.5504553300310189,5,1618.131943007186,1502.0386848993928,5,0.2571857623755932,0.05444178263854579,5
